standarization,learning_rate_init,hidden_layer_sizes,activation,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max,R2_mean,R2_std,R2_min,R2_max
False,0.001,10,identity,0.8545563418931158,0.2646877334184539,0.65202760782775,1.1540533503615844,0.6645182028332021,0.19969489307061303,0.5135592969723464,0.8909499888839019,-0.18893033291895958,0.744069455121846,-1.037991115725485,0.3494472998663338
False,0.001,10,logistic,0.9786113580217318,0.24669204245918558,0.8117332591010193,1.2619772413192227,0.8084745639497614,0.1874901026243508,0.6872629104175709,1.0244294810514094,-0.5275325919989491,0.7902516909226556,-1.4369889493122425,-0.008270812691613783
False,0.001,10,relu,0.7424536757297319,0.06618727616687084,0.6723043103787301,0.8037972645877972,0.5785539831025687,0.05008376699273847,0.5258898487361614,0.6255802627559456,0.15202295994892054,0.14912221879618232,0.011347743420796697,0.3083564909638349
False,0.001,10,tanh,0.7175494757280395,0.08479397564217069,0.6565624973809225,0.8143789254303433,0.5810171380212746,0.0959858799047774,0.5145791761675357,0.6910657164977552,0.20479581292294702,0.19195670965162653,-0.014853998125379464,0.34036656782336316
False,0.001,100,identity,0.6697070085541373,0.0072109132657092925,0.6642841234924908,0.6778903345204617,0.5234931584091406,0.005418360784203457,0.518297344129666,0.5291095534265576,0.3136371530283469,0.014818373138476055,0.29681532453931814,0.324759846612222
False,0.001,100,logistic,0.6492390043484287,0.0058959828101850615,0.6424309627158551,0.6526662661813861,0.5254135623326701,0.0031692496278618726,0.5219840652710983,0.5282342293198555,0.35496452893931485,0.011684264359701635,0.3481722483428926,0.36845624880741656
False,0.001,100,relu,0.6491251818083502,0.01930776862576422,0.627723890694748,0.6652367869204596,0.5218681533361559,0.01913595987226296,0.5041603693496398,0.5421680380756995,0.35484583308788925,0.03814065998685508,0.32282170645647557,0.3970409334572741
False,0.001,100,tanh,0.6132387193017655,0.0028260185794021678,0.6106365609154045,0.6162450726108419,0.49203063334668623,0.001558616853764421,0.4902671669342851,0.4932236962111084,0.42453912890002243,0.005306347268061994,0.4188912248157427,0.4294205565605722
False,0.001,1000-100,identity,0.6971411797516271,0.018527053683271417,0.6762656686305685,0.7116300456240016,0.5744590339881944,0.02249479259693979,0.5507887650367163,0.5955572386786546,0.25595975612322125,0.03928937277693884,0.22507608069628338,0.30018186064049046
False,0.001,1000-100,logistic,0.8107361672337791,0.00031978795929885095,0.8103907183369646,0.8110218657220353,0.6854350397789143,0.0004893457891616225,0.6849060289968172,0.6858715044549374,-0.0057954211240984765,0.000793412428477338,-0.006504313990874033,-0.004938374989916561
